Report generated on: 12-09-2022 13:21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
INTL.26-2-DOM-BCF.A,        Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5945,4.59095,8.82875,8.82875,16.9512,16.59805,19.7764,28.9583,32.84295,45.2032,37.751735,37.751735,39.12902,36.8335645,40.6828668,44.61996345,47.81746177,50.15990388,66.33701357
INTL.26-2-ECU-BCF.A,        Ecuador,3,2,2,3,4,4,3,1.9,2.8,2.8,4,3.226165385,3.5315,3.53,3.53,4.24,4.2378,3.5315,3.5315,3.5315,4.9441,5.6504,3.5315,5.29725,6.00355,9.1819,9.8882,9.711625,9.1819,10.45324,11.65395,8.510915,18.257855,18.187225,20.41207,17.551555,19.31729,16.87236984,13.39228963,12.09185063,10.1808746,10.52729869
INTL.26-2-EGY-BCF.A,        Egypt,30,50,94,113,143,175,200,222,244,273,286,321,349,398.70635,423.42,438.96,473.221,476.7525,485.2281,518.07105,646.2645,866.98325,882.875,1046.0303,1111.0099,1208.12615,1334.907,1406.631765,1484.99575,1566.92655,1630.49355,1791.8831,1876.886305,1834.2611,1697.9452,1692.93047,1788.951139,2038.202292,2138.31012,2056.861658,1989.338261,2116.4102
INTL.26-2-SLV-BCF.A,        El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GNQ-BCF.A,        Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7063,0.7063,1.05945,1.05945,44.85005,45.9095,3.5315,45.9095,45.9095,52.6511335,52.9725,54.73825,55.7977,57.2103,55.7977,51.5599,48.38155,43.34180521,53.42129479,53.08531181,51.06941389,50.06146493,44.58370408,52.10297128
INTL.26-2-ERI-BCF.A,        Eritrea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-EST-BCF.A,        Estonia,--,--,--,--,--,--,--,--,--,--,--,--,52.97,21.19,22.6,26.31,28.82,37.4339,56.504,35.315,39.5528,44.85005,26.239045,29.911805,34.11429,34.573385,35.632835,34.82059,33.40799,23.060695,24.755815,22.31908,23.201955,23.94357,18.71695,16.633365,18.2931559,17.4102884,17.83492958,16.40173021,14.72953645,se|16
INTL.26-2-SWZ-BCF.A,        Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-ETH-BCF.A,        Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-FLK-BCF.A,        Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-FRO-BCF.A,        Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-FJI-BCF.A,        Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-FIN-BCF.A,        Finland,32,26,24,23,28,35,43,57,61,81,95,100,103.86,107.5,119.15,123.11,128.864435,126.71022,144.93276,144.93276,148.287685,160.718565,159.941635,176.963465,170.9246,156.622025,168.205345,161.53081,167.287155,150.759735,166.651485,145.533115,130.10046,123.214035,108.91146,96.26869,87.9697355,82.8137893,91.69415779,90.30116332,85.43284447,se|88
INTL.26-2-CSK-BCF.A,        Former Czechoslovakia,325,325,341,346,364,407,427,444,416,451,532,504,411,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-SCG-BCF.A,        Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,71.546,33.97303,57.57,39.02,98.211015,97.18688,103.8261,61.059635,19.176045,21.25963,80.87135,77.693,82.6371,84.756,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-SUN-BCF.A,        Former U.S.S.R.,13328,14440,15522,16822,18512,20302,21522,22462,24092,24529,24961,25014,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-YUG-BCF.A,        Former Yugoslavia,127,157,155,149,200,208,224,263,258,287,248,247,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
INTL.26-2-FRA-BCF.A,        France,981,1003,979,999,1079,1110,1129,1038,963,984,997,1131.24,1146.47,1158.403,1156.954715,1182.73,1314.318355,1300.051095,1312.905755,1382.65288,1402.817745,1470.86975,1528.08005,1510.7757,1603.65415,1740.3232,1762.57165,1656.2735,1736.43855,1665.4554,1694.76685,1654.50775,1488.209415,1551.917675,1274.341775,1342.95882,1470.621461,1479.096989,1442.993957,1470.697014,1362.862557,1451.71332
INTL.26-2-GUF-BCF.A,        French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
INTL.26-2-PYF-BCF.A,        French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GAB-BCF.A,        Gabon,2.5,2.1,2,5.3,5.3,2,1,4.1,3.5,3.2,3,3.548592168,3.5315,3.5315,3.53,3.53,3.5315,3.5315,3.5315,3.5315,2.8252,2.8252,3.17835,3.17835,3.5315,3.5315,3.5315,2.8252,2.8252,2.8252,2.8252,2.47205,13.596275,11.23017,19.423085,19.423085,19.46193117,17.19731529,18.71332239,16.3860208,17.7279794,16.0328738
INTL.26-2-GMB-BCF.A,"        Gambia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTL.26-2-GEO-BCF.A,        Georgia,--,--,--,--,--,--,--,--,--,--,--,--,176.58,84.76,56.5,74.16,63.57,67.0985,65.6859,40.9654,42.73115,40.9654,51.91305,36.37445,43.43745,52.089625,49.79415,59.68235,61.09495,60.38865,58.093175,52.725295,62.57818,71.76008,77.022015,84.7559343,79.4587293,80.8713173,79.7589499,90.28713128,89.68663501,90.43621908
